Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
x264_macroblock_cache_init(struct x264_t *),1,238,238,238.000000,238.000000,1858,1858,1858.000000,1858.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,952,2409668720,
"mk_createContext(struct mk_Writer *, struct mk_Context *, unsigned int)",16,61,73,64.750000,1036.000000,61,238,111.812500,1789.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\matroska.c,67,2409890944,
"predict_16x16_dc_left(unsigned char *, int)",24,67,67,67.000000,1608.000000,67,67,67.000000,1608.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,79,2409813070,
"predict_16x16_dc_top(unsigned char *, int)",18,80,80,80.000000,1440.000000,80,80,80.000000,1440.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,99,2409812826,
"open_file_mkv(char *, void * *)",1,59,59,59.000000,59.000000,1365,1365,1365.000000,1365.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1894,2409815526,
"get_frame_total_yuv(void *, int, int)",1,65,65,65.000000,65.000000,1324,1324,1324.000000,1324.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1420,2409816748,
mk_createWriter(char *),1,78,78,78.000000,78.000000,1161,1161,1161.000000,1161.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\matroska.c,353,2409895856,
"getopt_long(int, char * *, char *, struct option *, int *)",2,33,33,33.000000,66.000000,211,585,398.000000,796.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\getopt.c,384,2409913368,
"open_file_yuv(char *, void * *, struct x264_param_t *)",1,26,26,26.000000,26.000000,741,741,741.000000,741.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1413,2409815478,
"getopt_internal(int, char * *, char *)",2,178,552,365.000000,730.000000,178,552,365.000000,730.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\getopt.c,202,2409911784,
close_file_yuv(void *),1,22,22,22.000000,22.000000,505,505,505.000000,505.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1454,2409816718,
x264_param_default(struct x264_param_t *),1,214,214,214.000000,214.000000,450,450,450.000000,450.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\common1.c,48,2409919832,
x264_validate_parameters(struct x264_t *),1,368,368,368.000000,368.000000,414,414,414.000000,414.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,328,2409704928,
"x264_sps_init(struct x264_sps_t *, int, struct x264_param_t *)",1,321,321,321.000000,321.000000,321,321,321.000000,321.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\set.c,74,2409865904,
x264_ratecontrol_delete(struct x264_t *),1,61,61,61.000000,61.000000,288,288,288.000000,288.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\ratecontrol.c,440,2409747512,
"x264_picture_alloc(struct x264_picture_t *, int, int, int)",1,96,96,96.000000,96.000000,209,209,209.000000,209.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\common1.c,179,2409919012,
x264_picture_clean(struct x264_picture_t *),1,38,38,38.000000,38.000000,178,178,178.000000,178.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\common1.c,246,2409918948,
"predict_8x8c_dc_128(unsigned char *, int)",8,22,22,22.000000,176.000000,22,22,22.000000,176.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,201,2409801000,
"mk_writeFloatRaw(struct mk_Context *, float)",2,25,26,25.500000,51.000000,83,84,83.500000,167.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\matroska.c,294,2409892184,
"x264_pixel_init(int, struct x264_pixel_function_t *)",1,126,126,126.000000,126.000000,126,126,126.000000,126.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,356,2409783008,
"x264_pps_init(struct x264_pps_t *, int, struct x264_param_t *, struct x264_sps_t *)",1,83,83,83.000000,83.000000,83,83,83.000000,83.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\set.c,320,2409870436,
parse_zones(struct x264_t *),1,52,52,52.000000,52.000000,52,52,52.000000,52.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\ratecontrol.c,383,2409732292,
"x264_csp_init(int, int, struct x264_csp_function_t *)",1,49,49,49.000000,49.000000,49,49,49.000000,49.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\csp1.c,358,2409903492,
"x264_dct_init(int, struct x264_dct_function_t *)",1,46,46,46.000000,46.000000,46,46,46.000000,46.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,383,2409896672,
"x264_predict_8x8_init(int, void (*)() *)",1,37,37,37.000000,37.000000,37,37,37.000000,37.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,922,2409799660,
"x264_predict_4x4_init(int, void (*)() *)",1,37,37,37.000000,37.000000,37,37,37.000000,37.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,938,2409799788,
"x264_predict_8x8c_init(int, void (*)() *)",1,24,24,24.000000,24.000000,24,24,24.000000,24.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,904,2409799584,
"x264_predict_16x16_init(int, void (*)() *)",1,24,24,24.000000,24.000000,24,24,24.000000,24.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,886,2409799920,
x264_cabac_model_init(struct x264_cabac_t *),1,17,17,17.000000,17.000000,17,17,17.000000,17.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,913,2409885336,
"x264_mc_init(int, struct x264_mc_functions_t *)",1,15,15,15.000000,15.000000,15,15,15.000000,15.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,395,2409870880,
x264_cpu_detect(),1,7,7,7.000000,7.000000,7,7,7.000000,7.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cpu1.c,239,2409985508,
